frame,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
3239,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3240,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3241,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3242,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3243,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3244,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3245,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3246,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3247,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3248,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3249,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3250,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3251,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3252,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3253,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3254,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3255,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3256,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3257,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3258,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3259,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3260,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3261,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3262,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3263,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3264,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3265,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3266,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3267,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3268,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3269,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3270,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3271,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3272,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3273,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3274,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3275,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3276,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3277,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3278,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3279,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3280,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3281,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3282,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3283,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3284,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3285,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3286,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3287,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3288,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3289,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3290,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3291,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3292,0.02009084,2.48,4.493366,0,0.003239738,0,0.9999948
3293,0.02009084,2.48,4.493366,0,0.003140669,0,0.9999951
3294,0.02009084,2.48,4.493366,0,0.003140669,0,0.9999951
3295,0.02009084,2.48,4.493366,0,0.003140669,0,0.9999951
3296,0.02009084,2.48,4.493366,0,0.003140669,0,0.9999951
3297,0.02009084,2.48,4.493366,0,0.003140669,0,0.9999951
3298,0.02009084,2.48,4.493366,0,0.003140669,0,0.9999951
3299,0.02009084,2.48,4.493366,0,0.003140669,0,0.9999951
3300,0.02009084,2.48,4.493366,0,0.003140669,0,0.9999951
3301,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999956
3302,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3303,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3304,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3305,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3306,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3307,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3308,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3309,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3310,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3311,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3312,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3313,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3314,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3315,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3316,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3317,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3318,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3319,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3320,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3321,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3322,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3323,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
3324,0.02009084,2.48,4.493366,0,0.002939931,0,0.9999957
